대상물 구분명(참고),대상물명,주소(지번),주소(도로명),주용도명,아파트여부,연면적(㎡),세대수,스프링클러,제연설비,물분무등,관할서,사용승인일,터널여부,등급대상,지상층수,지하층수,자체점검여부
[동별] 리더스아파트,리더스아파트,서울특별시 강남구 개포동 1164-25,서울특별시 강남구 논현로2길 62,공동주택,Y,1174.0,10.0,N,N,N,강남소방서,20021226.0,N,3급대상,6,1,Y
[개황] 에버그린빌딩,에버그린빌딩,서울특별시 강남구 개포동 166-4,서울특별시 강남구 선릉로8길 5,공동주택,Y,1233.89,9.0,N,N,N,강남소방서,20030312.0,N,3급대상,6,1,Y
[동별] 에버그린빌딩,에버그린빌딩,서울특별시 강남구 개포동 166-4,서울특별시 강남구 선릉로8길 5,공동주택,Y,1233.89,9.0,N,N,N,강남소방서,20030312.0,N,3급대상,6,1,Y
[개황] 개포상지리츠빌,개포상지리츠빌,서울특별시 강남구 개포동 176-1,서울특별시 강남구 개포로 405,공동주택,Y,4384.0,18.0,Y,N,N,강남소방서,20030328.0,N,2급대상,11,1,Y
[동별] 개포상지리츠빌,개포상지리츠빌,서울특별시 강남구 개포동 176-1,서울특별시 강남구 개포로 405,공동주택,Y,4384.0,18.0,Y,N,N,강남소방서,20030328.0,N,2급대상,11,1,Y
[개황] 연아빌딩,연아빌딩,서울특별시 강남구 개포동 1228-5,서울특별시 강남구 논현로 54,복합건축물,N,997.0,,N,N,N,강남소방서,20030328.0,N,3급대상,5,1,Y
[동별] 연아빌딩,연아빌딩,서울특별시 강남구 개포동 1228-5,서울특별시 강남구 논현로 54,복합건축물,N,997.0,,N,N,N,강남소방서,20030328.0,N,3급대상,5,1,Y
[개황] 다우빌딩,다우빌딩,서울특별시 강남구 개포동 1194-6,서울특별시 강남구 논현로 38,복합건축물,N,999.0,,N,N,N,강남소방서,20030425.0,N,3급대상,6,1,Y
[동별] 다우빌딩,황호근건물다우빌딩,서울특별시 강남구 개포동 1194-6,서울특별시 강남구 논현로 38,복합건축물,N,999.0,,N,N,N,강남소방서,20030425.0,N,3급대상,6,1,Y
[개황] 골든빌오피스텔,골든빌오피스텔,서울특별시 강남구 개포동 1246-3,서울특별시 강남구 개포로 213,업무시설,N,948.0,0.0,N,N,N,강남소방서,20030515.0,N,3급대상,6,0,Y
[동별] 골든빌오피스텔,골든빌오피스텔,서울특별시 강남구 개포동 1246-3,서울특별시 강남구 개포로 213,업무시설,N,948.0,0.0,N,N,N,강남소방서,20030515.0,N,3급대상,6,0,Y
[개황] 금마빌딩,금마빌딩,서울특별시 강남구 개포동 1190-3,서울특별시 강남구 논현로8길 10-8,복합건축물,N,726.43,,N,N,N,강남소방서,20030611.0,N,3급대상,5,1,Y
[동별] 금마빌딩,금마빌딩,서울특별시 강남구 개포동 1190-3,서울특별시 강남구 논현로8길 10-8,복합건축물,N,726.43,,N,N,N,강남소방서,19891014.0,N,3급대상,5,1,Y
[개황] Avenue28빌딩,Avenue28빌딩,서울특별시 강남구 개포동 1192-7,서울특별시 강남구 논현로 28,복합건축물,N,1109.0,,N,N,N,강남소방서,20030709.0,N,3급대상,6,2,Y
[동별] Avenue28빌딩,한이빌딩,서울특별시 강남구 개포동 1192-7,서울특별시 강남구 논현로 28,복합건축물,N,1109.0,,N,N,N,강남소방서,20030709.0,N,3급대상,6,2,Y
[개황] 개포동역(분당선),개포동역(분당선),서울특별시 강남구 개포동 195,서울특별시 강남구 개포로 420,운수시설,N,11183.88,0.0,Y,Y,Y,강남소방서,20030827.0,N,2급대상,0,4,Y
[동별] 개포동역(분당선),개포동역,서울특별시 강남구 개포동 195,서울특별시 강남구 개포로 420,운수시설,N,11183.88,0.0,Y,Y,Y,강남소방서,20030827.0,N,2급대상,0,4,Y
[개황] 연우빌딩,연우빌딩,서울특별시 강남구 개포동 1200,서울특별시 강남구 개포로22길 46,복합건축물,N,1911.61,,Y,N,N,강남소방서,20030925.0,N,2급대상,5,1,Y
[동별] 연우빌딩,연우빌딩,서울특별시 강남구 개포동 1200,서울특별시 강남구 개포로22길 46,복합건축물,N,1911.61,,Y,N,N,강남소방서,20030925.0,N,2급대상,5,1,Y
[개황] 서울농아교회,서울농아교회,서울특별시 강남구 개포동 1239-9,서울특별시 강남구 개포로15길 21,복합건축물,N,891.44,,N,N,N,강남소방서,20031224.0,N,3급대상,5,2,Y
[동별] 서울농아교회,서울농아교회,서울특별시 강남구 개포동 1239-9,서울특별시 강남구 개포로15길 21,복합건축물,N,891.44,,N,N,N,강남소방서,20031224.0,N,3급대상,5,2,Y
[개황] 정원빌딩,정원빌딩,서울특별시 강남구 개포동 1258-4,서울특별시 강남구 개포로 229,근린생활시설,N,939.66,0.0,N,N,N,강남소방서,20031230.0,N,3급대상,6,0,Y
[동별] 정원빌딩,정원빌딩,서울특별시 강남구 개포동 1258-4,서울특별시 강남구 개포로 229,근린생활시설,N,939.66,0.0,N,N,N,강남소방서,20031230.0,N,3급대상,6,0,Y
